"ID.Results";"mes_date";"ID.Modul";"channel";"U0";"Ik";"Pmpp";"FF";"Ghor";"Tluft";"RA";"MN";"HN";"Res";"mes_time"
"2912091";"10/1/2024 6:32:33 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";263;60;0;1;1
"2912092";"10/1/2024 6:32:34 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";263;60;0;1;2
"2912093";"10/1/2024 6:32:53 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";263;90;0;1;2
"2912094";"10/1/2024 6:32:55 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";263;90;0;1;1
"2912095";"10/1/2024 6:32:57 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";263;90;0;1;1
"2912096";"10/1/2024 6:32:58 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";263;90;0;1;2
"2912097";"10/1/2024 6:33:23 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";358;50;10;1;1
"2912098";"10/1/2024 6:33:24 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";358;50;10;1;2
"2912099";"10/1/2024 6:33:26 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";358;50;10;1;1
"2912100";"10/1/2024 6:33:27 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";358;50;10;1;2
"2912101";"10/1/2024 6:33:46 AM";2;3;0,212;1,51e-05;8,19e-07;26;-30003000;"12.9°C ";358;80;10;1;2
"2912102";"10/1/2024 6:33:48 AM";-1;7;0,333;1,73e-05;1,4196e-06;25;-30003000;"12.9°C ";358;80;10;1;2
"2912103";"10/1/2024 6:33:50 AM";2;18;0,061;0,0001068;1,389e-06;21;-30003000;"12.9°C ";358;80;10;1;2
"2912104";"10/1/2024 6:33:52 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";358;80;10;1;1
"2912105";"10/1/2024 6:34:12 AM";2;3;0,273;2,25e-05;1,8088e-06;29;-30003000;"12.9°C ";263;50;10;1;2
"2912106";"10/1/2024 6:34:14 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";263;50;10;1;2
"2912107";"10/1/2024 6:34:16 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";263;50;10;1;1
"2912108";"10/1/2024 6:34:17 AM";2;22;0,667;1,66e-05;4,8048e-06;43;-30003000;"12.9°C ";263;50;10;1;3
"2912109";"10/1/2024 6:34:36 AM";2;3;0,333;2,76e-05;2,6144e-06;28;-30003000;"12.9°C ";263;80;10;1;3
"2912110";"10/1/2024 6:34:39 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";263;80;10;1;1
"2912111";"10/1/2024 6:34:40 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";263;80;10;1;1
"2912112";"10/1/2024 6:34:42 AM";2;22;0;0;0;NA;-30003000;"12.9°C ";263;80;10;1;1
"2912113";"10/1/2024 6:35:02 AM";2;3;0;0;0;NA;-30003000;"12.9°C ";205;50;10;1;1
"2912114";"10/1/2024 6:35:03 AM";-1;7;0;0;0;NA;-30003000;"12.9°C ";205;50;10;1;2
"2912115";"10/1/2024 6:35:05 AM";2;18;0;0;0;NA;-30003000;"12.9°C ";205;50;10;1;1
